term,definition,function
Politiques,"Leaders who prioritize political stability over religious doctrine, especially during religious wars","Stabilized fractured nations by prioritizing unity over religious dogma"
Mercantilism,"Economic theory emphasizing state control of trade to increase national wealth","Strengthened state power through controlled trade and colonial exploitation"
Inflation,"General rise in prices, often due to increased money supply or scarcity of goods","Destabilized economies and shifted wealth due to rising prices and silver influx"
Sexism,"Discrimination based on gender, typically against women","Reinforced patriarchal structures and limited women's roles in society"
Racism,"Belief in the superiority of one race over another, often resulting in discrimination","Justified colonial hierarchies and institutionalized inequality"
Skepticism,"Philosophical doubt or questioning of accepted truths and beliefs","Challenged traditional authority and laid groundwork for scientific inquiry"
Misogyny,"Hatred or prejudice against women","Marginalized women and shaped cultural and legal exclusion"
Baroque,"Art style characterized by drama, grandeur, and emotional intensity, popular in 17th-century Europe","Promoted religious emotion and absolutist grandeur through art and architecture"
Quinto,"Spanish crown’s claim to one-fifth of all precious metals mined in the New World","Funded Spanish imperial ambitions through royal claims on colonial wealth"
Audiencia,"Spanish colonial court system that combined judicial and administrative functions","Extended judicial control and centralized colonial governance"
Corregidores,"Local Spanish officials who governed towns and enforced royal policies","Enforced royal authority at the local level in Spanish territories"
Thirty Years’ War,"Devastating European conflict (1618–1648) rooted in religious and political tensions","Redefined European power dynamics and religious boundaries"
Spanish Armada,"Failed naval invasion of England by Spain in 1588","Signaled Spain’s decline and England’s naval rise"
Peace of Westphalia,"Treaty ending the Thirty Years’ War, establishing state sovereignty and religious tolerance","Established state sovereignty and ended religious warfare in Europe"
Saint Bartholomew’s Day massacre,"Mass killing of Huguenots in France (1572), intensifying religious conflict","Deepened religious divisions and escalated French civil conflict"
War of the Three Henries,"French civil war between Henry III, Henry of Navarre, and Henry of Guise","Fragmented France and paved the way for Bourbon ascendancy"
Edict of Nantes,"1598 decree granting religious tolerance to French Protestants (Huguenots)","Temporarily resolved religious tensions through legal tolerance"
East India Company,"English trading company that dominated commerce in Asia","Expanded British commercial dominance in Asia through chartered trade"
Nobility of the robe,"French nobles who gained status through administrative service rather than military lineage","Shifted power from military aristocracy to bureaucratic elites"
Defenestration of Prague,"Protestant nobles threw Catholic officials out a window, sparking the Thirty Years’ War","Triggered the Thirty Years’ War by symbolizing Protestant resistance"
Caravel,"Small, fast ship used by Portuguese and Spanish explorers","Enabled long-distance exploration and maritime expansion"
Treaty of Cateau-Cambresis,"Ended Habsburg-Valois Wars; France recognized Spanish dominance in Italy","Ended dynastic wars and confirmed Spanish dominance in Italy"
Catherine de’ Medici,"Powerful French queen and regent during religious wars; associated with the St. Bartholomew’s Day massacre","Manipulated religious factions to maintain Valois control"
Henry of Navarre (IV),"French king who converted to Catholicism and issued the Edict of Nantes","Unified France through pragmatic conversion and religious compromise"
Henry III,"Last Valois king of France, assassinated during the War of the Three Henries","Struggled to balance Catholic pressure and royal authority during civil war"
